41785|Earth Observation|Optical Imaging|Government|Algerian Space Agency (ASAL)|103|PSLV|Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,
41789|Technology Development||Government|Algerian Space Agency (ASAL)/UK Space Agency|10|PSLV|Technology demonstration satellite for Algerian students.
36798|Earth Observation|Optical Imaging|Government|Algerian Space Agency (ASAL)|130|PSLV|The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disas…
41786|Earth Observation|Optical Imaging|Government|Algerian Space Agency (ASAL)|117|PSLV|Surveillance.
35942|Communications|Optical Imaging|Commercial|Hispamar (subsidiary of Hispasat - Spain)|5465|Ariane 5|54 Ku-band, 10 C-band transponders; North, Central and South America.
39078|Communications||Commercial|Hispamar (subsidiary of Hispasat - Spain)|6265|Ariane 5 ECA|
39616|Communications||Commercial|Hispamar (subsidiary of Hispasat - Spain)|2938|Ariane 5 ECA|Suffered a power malfunction shortly after entering orbit; will affect capacity.
42934|Communications||Commercial|Hispamar (subsidiary of Hispasat - Spain)|5900|Proton|34 Ka-band, 24 Ku-band
55508|Communications||Commercial|Hispamar (subsidiary of Hispasat - Spain)|4000|Falcon 9|
47699|Earth Observation|Optical Imaging|Government|National Institute for Space Research (INPE)|637|PSLV|First earth observation satellite produced entirely by Brazil.
28252|Communications||Commercial|SES S.A.|2340|Atlas 2AS|24 C-band transponders.
28446|Communications||Commercial|SES S.A.|4200|Proton M|Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.
29644|Communications||Commercial|SES S.A.|2081|Ariane 5|All c-band transponders for North American coverage.
33275|Communications||Commercial|SES S.A.|2500|Ariane 5 ECA|Television services to the US, Canada, Mexico and Caribbean.
26580|Communications||Commercial|SES S.A.|3901|Proton K|Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America
44394|Space Science||Civil|Moscow State University|4|Soyuz-2.1b|Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
44479|Communications||Military/Commercial|Space-Communication Ltd.|6500|Falcon 9|Replaces Amos 5 which failed in 2015.
32794|Communications||Military/Commercial|Space-Communication Ltd.||Zenit 3SLB|15 transponders, Ku and Ka bands.
39237|Communications||Military/Commercial|Space-Communication Ltd.||Zenit 2SB|Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.
7530|Communications||Civil|AMSAT-NA|29|Delta 2310|American amateur radio satellite.
45920|Communications||Military|Agency for Defense Development||Falcon 9|First South Korean military satellite.
45726|Space Science/Technology Demonstration||Civil|ANDESITE - Boston University|9|Electron|Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
44876|Communications||Government|Centre National d'Etudes Spatiales (CNES)|18|Soyuz|Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe.
54033|Communications||Government|AngoSat|2150|Proton|Replaces Angosat 1.
26624|Communications||Commercial|Telesat Canada Ltd. (BCE, Inc.)|4710|Ariane 44L|
28868|Communications||Commercial|Telesat Canada Ltd. (BCE, Inc.)|4500|Proton M|
28378|Communications||Commercial|Telesat Canada Ltd. (BCE, Inc.)|5910|Ariane 5|24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada
31102|Communications||Commercial|Telesat Canada Ltd. (BCE, Inc.)|4715|Proton M|32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.
39127|Communications||Commercial|Telesat Canada Ltd. (BCE, Inc.)|4905|Proton M|16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
28372|Communications/Technology Development||Commercial|Aprize Satellite, Argentina|12|Dnepr|Messaging services.
40019|Communications/Maritime Tracking|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Will provide tracking and data monitoring services for companies with remote or mobile assets.
28366|Communications/Technology Development||Commercial|Aprize Satellite, Argentina|12|Dnepr|Messaging services.
35686|Communications/Maritime Tracking|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Will provide tracking and data monitoring services for companies with remote or mobile assets.
35684|Communications/Maritime Tracking|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Will provide tracking and data monitoring services for companies with remote or mobile assets.
37792|Communications|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Continuation of constellation.
39416|Communications|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Continuation of constellation.
39425|Communications/Maritime Tracking|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Continuation of constellation.
40018|Communications/Maritime Tracking|Automatic Identification System (AIS)|Commercial|Aprize Satellite, Argentina|12|Dnepr|Will provide tracking and data monitoring services for companies with remote or mobile assets.
43450|Communications||Commercial|APT Satellite Holdings Ltd.||Long March 3B|45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east.
45863|Communications||Commercial|APT Satellite Holdings Ltd.|5550|Long March 3B|Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission.
55239|Communications||Commercial|APT Satellite Holdings Ltd.|4300|Long March 3B|
38107|Communications||Commercial|APT Satellite Holdings Ltd.|5054|Long March 3B|Replacement for Apstar 2R.
40982|Communications||Commercial|APT Satellite Holdings Ltd.|5200|Long March 3B|Replacement for Apstar 9A.
37810|Communications||Government|Arab Satellite Communications Org. (ASCO)|4630|Ariane 5 ECA|26 active C-band transponders, 12 active Ka-band transponders
44186|Communications||Commercial|Arab Satellite Communications Org. (ASCO)|6465|Falcon Heavy|
47484|Technology Development||Civil|University of South Florida, Institute of Applied Engineering (IAE).|1|Falcon 9/Sherpa FX|
